time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__14-54-14_012,ACTIVE,{'current': 0.0; 'voltage': 0.0; 'level': 100},0.0,{'y': 0.10831481963396072; 'x': 0.00022900132171344012; 'z': -0.00012461203732527792},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_0,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-54-14_110,ACTIVE,{'current': 0.0; 'voltage': 0.0; 'level': 100},0.0,{'y': 0.10831481963396072; 'x': 0.00022900132171344012; 'z': -0.00012461203732527792},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_0,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-54-14_210,ACTIVE,{'current': 0.0; 'voltage': 0.0; 'level': 100},0.0,{'y': 0.10831481963396072; 'x': 0.00022900132171344012; 'z': -0.00012461203732527792},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_0,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-54-14_310,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10836854577064514; 'x': 0.0002570423821453005; 'z': -7.179864041972905e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_0,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-54-14_410,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10836854577064514; 'x': 0.0002570423821453005; 'z': -7.179864041972905e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_0,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-54-14_510,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10843808948993683; 'x': 0.0002486561716068536; 'z': -3.582990393624641e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_0,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-54-14_610,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10843808948993683; 'x': 0.0002486561716068536; 'z': -3.582990393624641e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_0,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-54-14_710,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10850707441568375; 'x': 0.00027025878080166876; 'z': -1.9732697182917036e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_0,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-54-14_810,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10850707441568375; 'x': 0.00027025878080166876; 'z': -1.9732697182917036e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_0,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-54-14_910,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10856866836547852; 'x': 0.00027185797807760537; 'z': -9.784886060515419e-06},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_0,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-54-15_010,STANDBY,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10856866836547852; 'x': 0.00027185797807760537; 'z': -9.784886060515419e-06},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_0,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
