time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__14-40-54_217,ACTIVE,{'current': 0.0; 'voltage': 0.0; 'level': 100},0.0,{'y': 0.10830798745155334; 'x': 0.00022900133626535535; 'z': -0.00012461206642910838},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_1,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-40-54_317,ACTIVE,{'current': 0.0; 'voltage': 0.0; 'level': 100},0.0,{'y': 0.10830798745155334; 'x': 0.00022900133626535535; 'z': -0.00012461206642910838},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_1,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-40-54_417,ACTIVE,{'current': 0.0; 'voltage': 0.0; 'level': 100},0.0,{'y': 0.10830798745155334; 'x': 0.00022900133626535535; 'z': -0.00012461206642910838},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_1,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-40-54_517,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10836168378591537; 'x': 0.0002570423239376396; 'z': -7.179865497164428e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_1,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-40-54_617,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10836168378591537; 'x': 0.0002570423239376396; 'z': -7.179865497164428e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_1,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-40-54_717,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10843124240636826; 'x': 0.00024865620071068406; 'z': -3.5829936678055674e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_1,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-40-54_817,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10843124240636826; 'x': 0.00024865620071068406; 'z': -3.5829936678055674e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_1,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-40-54_917,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10850024223327637; 'x': 0.0002702587516978383; 'z': -1.9732742657652125e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_1,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-40-55_017,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10850024223327637; 'x': 0.0002702587516978383; 'z': -1.9732742657652125e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_1,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-40-55_117,ACTIVE,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10850024223327637; 'x': 0.0002702587516978383; 'z': -1.9732742657652125e-05},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_1,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
2017_07_18__14-40-55_217,STANDBY,{'current': 0.0; 'voltage': 12.587; 'level': 100},0.0,{'y': 0.10856182128190994; 'x': 0.00027185777435079217; 'z': -9.784921530808788e-06},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,False,0.0,SITL_1,{'y': 0.0; 'x': 0.0; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.0},6,STABILIZE
