2017-07-10T12:33:33.807,FD, 9, 0, 0, 0,FF, 0,     0,mavlink_heartbeat_t,custom_mode,0,type,6,autopilot,8,base_mode,0,system_status,0,mavlink_version,3,,sig ,Len,21
2017-07-10T12:33:34.226,FE, 9, 0, 0, 0, 1, 1,     0,mavlink_heartbeat_t,custom_mode,0,type,2,autopilot,3,base_mode,81,system_status,4,mavlink_version,3,,sig ,Len,17
2017-07-10T12:33:34.227,FD, 6, 0, 0, 1,FF, 0,    42,mavlink_request_data_stream_t,req_message_rate,4,target_system,1,target_component,0,req_stream_id,0,start_stop,1,,sig ,Len,18
2017-07-10T12:33:34.227,FD, 9, 0, 0, 2,FF, 0,     0,mavlink_heartbeat_t,custom_mode,0,type,6,autopilot,8,base_mode,0,system_status,0,mavlink_version,3,,sig ,Len,21
2017-07-10T12:33:34.237,FD, 2, 0, 0, 3,FF, 0,    15,mavlink_param_request_list_t,target_system,1,target_component,1,,sig ,Len,14
2017-07-10T12:33:34.241,FE,19, 0, 0, 1, 1, 1,    16,mavlink_param_value_t,param_value,0,param_count,852,param_index,65535,param_id,ESC_CALIBRATION,param_type,2,,sig ,Len,33
2017-07-10T12:33:34.371,FE,33, 0, 0, 2, 1, 1,    FD,mavlink_statustext_t,severity,6,text,APM:Copter V3.6-dev (32cb3f87),,sig ,Len,59
2017-07-10T12:33:34.372,FE,33, 0, 0, 3, 1, 1,    FD,mavlink_statustext_t,severity,6,text,Frame: QUAD,,sig ,Len,59
2017-07-10T12:33:34.373,FE,19, 0, 0, 4, 1, 1,    16,mavlink_param_value_t,param_value,120,param_count,852,param_index,0,param_id,SYSID_SW_MREV,param_type,4,,sig ,Len,33
2017-07-10T12:33:34.374,FE,19, 0, 0, 5, 1, 1,    16,mavlink_param_value_t,param_value,120,param_count,852,param_index,0,param_id,SYSID_SW_MREV,param_type,4,,sig ,Len,33
2017-07-10T12:33:34.374,FE,19, 0, 0, 6, 1, 1,    16,mavlink_param_value_t,param_value,10,param_count,852,param_index,1,param_id,SYSID_SW_TYPE,param_type,2,,sig ,Len,33
2017-07-10T12:33:34.375,FE,19, 0, 0, 7, 1, 1,    16,mavlink_param_value_t,param_value,1,param_count,852,param_index,2,param_id,SYSID_THISMAV,param_type,4,,sig ,Len,33
2017-07-10T12:33:34.375,FE,19, 0, 0, 8, 1, 1,    16,mavlink_param_value_t,param_value,255,param_count,852,param_index,3,param_id,SYSID_MYGCS,param_type,4,,sig ,Len,33
2017-07-10T12:33:34.376,FE,19, 0, 0, 9, 1, 1,    16,mavlink_param_value_t,param_value,0,param_count,852,param_index,4,param_id,CLI_ENABLED,param_type,2,,sig ,Len,33
2017-07-10T12:33:34.376,FE,19, 0, 0, A, 1, 1,    16,mavlink_param_value_t,param_value,0,param_count,852,param_index,5,param_id,PILOT_THR_FILT,param_type,9,,sig ,Len,33
2017-07-10T12:33:34.377,FE,19, 0, 0, B, 1, 1,    16,mavlink_param_value_t,param_value,0,param_count,852,param_index,6,param_id,PILOT_TKOFF_ALT,param_type,9,,sig ,Len,33
2017-07-10T12:33:34.377,FE,19, 0, 0, C, 1, 1,    16,mavlink_param_value_t,param_value,100,param_count,852,param_index,7,param_id,PILOT_TKOFF_DZ,param_type,4,,sig ,Len,33
2017-07-10T12:33:34.378,FE,19, 0, 0, D, 1, 1,    16,mavlink_param_value_t,param_value,0,param_count,852,param_index,8,param_id,PILOT_THR_BHV,param_type,4,,sig ,Len,33
2017-07-10T12:33:34.378,FE,19, 0, 0, E, 1, 1,    16,mavlink_param_value_t,param_value,115,param_count,852,param_index,9,param_id,SERIAL0_BAUD,param_type,6,,sig ,Len,33
2017-07-10T12:33:34.379,FE,19, 0, 0, F, 1, 1,    16,mavlink_param_value_t,param_value,1,param_count,852,param_index,10,param_id,SERIAL0_PROTOCOL,param_type,2,,sig ,Len,33
